0-1-0,0-0-0,1-1-0,1-0-0,2-1-0,2-0-0,3-1-0,3-0-0,4-1-0,4-0-0,0-1-1,0-0-1,1-1-1,1-0-1,2-1-1,2-0-1,3-1-1,3-0-1,4-1-1,4-0-1,0-1-2,0-0-2,1-1-2,1-0-2,2-1-2,2-0-2,3-1-2,3-0-2,4-1-2,4-0-2,0-1-3,0-0-3,1-1-3,1-0-3,2-1-3,2-0-3,3-1-3,3-0-3,4-1-3,4-0-3,0-1-4,0-0-4,1-1-4,1-0-4,2-1-4,2-0-4,3-1-4,3-0-4,4-1-4,4-0-4,0-1-5,0-0-5,1-1-5,1-0-5,2-1-5,2-0-5,3-1-5,3-0-5,4-1-5,4-0-5,0-1-6,0-0-6,1-1-6,1-0-6,2-1-6,2-0-6,3-1-6,3-0-6,4-1-6,4-0-6,0-1-7,0-0-7,1-1-7,1-0-7,2-1-7,2-0-7,3-1-7,3-0-7,4-1-7,4-0-7,0-1-8,0-0-8,1-1-8,1-0-8,2-1-8,2-0-8,3-1-8,3-0-8,4-1-8,4-0-8,0-1-9,0-0-9,1-1-9,1-0-9,2-1-9,2-0-9,3-1-9,3-0-9,4-1-9,4-0-9
"INFL110,INFL001,INFL129,INFL054","INFL003,INFL001,INFL146,INFL115","INFL005,INFL002,INFL068,INFL005,INFL130","INFL141,INFL146,INFL148,INFL149","INFL042,INFL150,INFL151,INFL153,INFL018,INFL015,INFL125,INFL157,INFL174","INFL107,INFL042,INFL128,INFL107,INFL018,INFL015,INFL159,INFL128,INFL183","INFL078,INFL019,INFL160,INFL161,INFL090,INFL134,INFL135,INFL155","INFL019,INFL160,INFL346,INFL090,INFL154,INFL178","INFL136,INFL137,INFL138,INFL164","INFL164,INFL190,INFL191,INFL137","INFL116,INFL321,INFL329,INFL002","INFL054,INFL145,INFL146","INFL002,INFL007,INFL279,INFL330","INFL007,INFL142,INFL143,INFL144","INFL042,INFL107,INFL151,INFL165,INFL174","INFL107,INFL042,INFL131,INFL183","INFL046,INFL133,INFL163,INFL166,INFL156,INFL177,INFL131","INFL046,INFL133,INFL166,INFL163","INFL138,INFL167,INFL061,INFL180","INFL190,INFL191,INFL332,INFL167","INFL100,INFL321,INFL322,INFL002","INFL054,INFL228,INFL100,INFL003","INFL004,INFL006,INFL007,INFL226,INFL334","INFL144,INFL337,INFL004,INFL338","INFL042,INFL118,INFL036,INFL014","INFL106,INFL014,INFL107,INFL337,INFL042","INFL021,INFL027,INFL170,INFL177","INFL175,INFL178,INFL021,INFL027","INFL029,INFL173,INFL061,INFL180","INFL191,INFL335,INFL173,INFL061","INFL051,INFL002,INFL102,INFL327,INFL328,INFL001","INFL309,INFL001,INFL002,INFL102","INFL002,INFL315,INFL316,INFL009,INFL001","INFL318,INFL338,INFL002,INFL316,INFL343","INFL012,INFL018,INFL051,INFL185,INFL186","INFL176,INFL012,INFL051,INFL343","INFL022,INFL032,INFL082,INFL026","INFL082,INFL022,INFL032","INFL035,INFL172,INFL187,INFL312","INFL189,INFL035,INFL172,INFL187,INFL312","INFL002,INFL299,INFL242,INFL314","INFL115,INFL054,INFL003,INFL319","INFL236,INFL007,INFL300,INFL292","INFL236,INFL308,INFL320,INFL341,INFL300","INFL008,INFL009,INFL020,INFL036,INFL342","INFL342,INFL009,INFL020,INFL036","INFL237,INFL288,INFL047,INFL264","INFL023,INFL047,INFL306,INFL237","INFL030,INFL059,INFL207,INFL296","INFL307,INFL030,INFL073,INFL059,INFL207,INFL296","INFL102,INFL002,INFL240,INFL292","INFL233,INFL220,INFL241,INFL293","INFL007,INFL055,INFL279,INFL068","INFL147,INFL115,INFL298,INFL007","INFL051,INFL011,INFL213,INFL284,INFL286","INFL051,INFL011,INFL213,INFL284,INFL286","INFL172,INFL177,INFL279,INFL014","INFL177,INFL023,INFL172,INFL279","INFL059,INFL287,INFL089,INFL189","INFL189,INFL241,INFL295,INFL089","INFL002,INFL196,INFL242,INFL243","INFL233,INFL244,INFL003,INFL247","INFL102,INFL195,INFL249,INFL249","INFL115,INFL194,INFL246,INFL248","INFL010,INFL011,INFL041,INFL014,INFL015,INFL016,INFL017,INFL043,INFL036","INFL036,INFL010,INFL041","INFL034,INFL025,INFL026,INFL169","INFL034,INFL252,INFL273,INFL277","INFL030,INFL168,INFL253,INFL021","INFL251,INFL255,INFL256,INFL030","INFL002,INFL349,INFL350,INFL309","INFL244,INFL261,INFL352,INFL242","INFL007,INFL261,INFL352,INFL242","INFL340,INFL359,INFL357","INFL232,INFL357,INFL358","INFL106,INFL125,INFL084","INFL022,INFL348,INFL125,INFL084","INFL175,INFL022,INFL125","INFL187,INFL028,INFL367,INFL189","INFL187,INFL187,INFL189,INFL028","INFL216,INFL217,INFL219,INFL220","INFL216,INFL217,INFL219,INFL220","INFL203,INFL206,INFL210,INFL100","INFL107,INFL338,INFL203,INFL206","INFL204,INFL212,INFL013,INFL117,INFL097","INFL097,INFL212,INFL213,INFL204","INFL199,INFL200,INFL022,INFL208,INFL264,INFL345,INFL022","INFL199,INFL200,INFL200,INFL208","INFL197,INFL138,INFL057,INFL205,INFL207","INFL197,INFL138,INFL057,INFL205,INFL207","INFL222,INFL223,INFL265,INFL266","INFL054,INFL269,INFL222,INFL223","INFL108,INFL102,INFL041,INFL261","INFL108,INFL102,INFL041","INFL185,INFL041,INFL232,INFL260","INFL106,INFL176,INFL268,INFL360","INFL082,INFL026,INFL263,INFL264","INFL274,INFL275,INFL276","INFL173,INFL071,INFL262,INFL082","INFL089,INFL023,INFL271,INFL207"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1-0,"INFL110,INFL001,INFL129,INFL054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0-0,"INFL003,INFL001,INFL146,INFL115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-0,"INFL005,INFL002,INFL068,INFL005,INFL130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0-0,"INFL141,INFL146,INFL148,INFL149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1-0,"INFL042,INFL150,INFL151,INFL153,INFL018,INFL015,INFL125,INFL157,INFL174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-0-0,"INFL107,INFL042,INFL128,INFL107,INFL018,INFL015,INFL159,INFL128,INFL183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1-0,"INFL078,INFL019,INFL160,INFL161,INFL090,INFL134,INFL135,INFL155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
