ID,str_prd_title,str_prd_link,num_prd_price,str_prd_type,str_prd_key
D_000,Maybelline Fit Me Concealer,https://www.boots.com/maybelline-fit-me-concealer,0,D,D_000
D_001,NYX #NoFilter Finishing Powder,https://www.cultbeauty.co.uk/nyx-professional-makeup-studio-finishing-powder-translucent-finish.html,0,D,D_001
D_002,MakeUp Revolution Conceal & Define Concealer,https://www.superdrug.com/Make-Up/Face/Concealer/Revolution-Conceal-and-Define-Concealer-C1/p/751531,0,D,D_002
D_003,NYX Liquid blush,https://www.cultbeauty.co.uk/nyx-professional-makeup-high-definition-blush.html,0,D,D_003
D_004,Wet N Wild Megaglo highlighting powder - Precious Petals,https://www.luxplus.co.uk/product/wet-n-wild-megaglo-highlighting-powder-precious-petals-54-g,0,D,D_004
D_005,W7 Matte Shadow Perfection - Burnt Sienna,https://www.w7cosmetics.co.uk/collections/w7-eyeshadow/products/yummy-eyes-burnt-copper,0,D,D_005
D_006,Maybelline Fit Me Shine-Free Foundation Stick,https://www.fragrancedirect.co.uk/maybelline-fit-me-anti-shine-foundation-stick-9ml-0095759.html?dwvar_0095759_color=Buff%20Beige%20130&cgid=maybelline#prefn1=pro,0,D,D_006
D_007,NYX Nude Beige Lip Pencil,https://www.lookfantastic.com/nyx-professional-makeup-slide-on-lip-pencil-various-shades/11530470.html,0,D,D_007
D_008,ColourPop Pressed Powder Highlighter - Bigger and Better,http://houseofbeauty.co.uk/p/17912-colourpop-pressed-powder-facet-highlighterbronzer,0,D,D_008
D_009,NYX Contour Palette,https://www.cultbeauty.co.uk/nyx-professional-makeup-highlight-contour-pro-palette.html,0,D,D_009
D_010,L'Oreal True Match Liquid Foundation,https://www.lookfantastic.com/l-oreal-paris-true-match-foundation-30ml-various-shades/11171561.html,0,D,D_010
D_011,L'Oreal Paris Lumi Magique Foundation,https://www.loreal-paris.co.uk/products/make-up/face/foundation/lumi-magique-foundation-c1-rose-pearl/,0,D,D_011
D_012,Makeup Revolution Liquid Highlighter,https://www.revolutionbeauty.com/en/Revolution-Liquid-Highlighter-Liquid-Starlight/m-5152.aspx,0,D,D_012
D_013,Sonia Kashuk Undetectable Crème Bronzer,https://www.amazon.co.uk/KASHUK-UNDETECTABLE-BRONZER-Sonia-Kashuk/dp/B01GR38V04,0,D,D_013
D_014,Milani Stellar Lights Highlighter - Otherworldly,https://www.beautybay.com/makeup/milani/strobelightinstantglowpowder/,0,D,D_014
D_015,Nyx Mauve Lip Liner,https://www.cultbeauty.co.uk/nyx-professional-makeup-suede-matte-lip-liner.html,0,D,D_015
D_016,Revlon ColorStay,https://www.superdrug.com/Revlon/Revlon-Color-Stay-Foundation-Combi-Oily-Ivory-30ml/p/645800,0,D,D_016
D_017,Unicorn Cosmetics 3D Mink Lashes - Majestic AF,https://www.unicorncosmetics.co.uk/products/majestic-af,0,D,D_017
D_018,Ulta Full Coverage Waterproof concealer,https://www.ulta.com/full-coverage-liquid-concealer?productId=xlsImpprod13621057,0,D,D_018
D_019,L'Oreal Paris Voluminous Lash Paradise mascara,https://www.lookfantastic.com/l-oreal-paris-paradise-mascara-black-6.4ml/11708612.html,0,D,D_019
D_020,The Ordinary Coverage Foundation 2.1Y,https://www.cultbeauty.co.uk/the-ordinary-coverage-foundation.html?variant_id=13060,0,D,D_020
