ID,str_name,str_surname,str_influencer_key,str_youtube
INFL059,BeautyByBemi,BeautyByBemi,INFL059,https://www.youtube.com/watch?v=RgAPove6WLw
INFL059,BeautyByBemi,BeautyByBemi,INFL059,https://www.youtube.com/watch?v=FfBl4G7Dykg
INFL061,Nyma Tang,Nyma Tang,INFL061,https://www.youtube.com/watch?v=f_p7D0bC9Ak
INFL061,Nyma Tang,Nyma Tang,INFL061,https://www.youtube.com/watch?v=XgGuTKOF3E4
INFL063,Ms Aaliyah Jay,Ms Aaliyah Jay,INFL063,https://www.youtube.com/watch?v=7E27LyHGQdQ
INFL059,BeautyByBemi,BeautyByBemi,INFL059,https://www.youtube.com/watch?v=MUYOcaDoFEQ
INFL028,Young Africana,Young Africana,INFL028,https://www.youtube.com/watch?v=DF-5PYZ9TMU
INFL066,Shanny Stephens,Shanny Stephens,INFL066,https://www.youtube.com/watch?v=CD3xHLX_Xb0
#N/A,DEAD LINK,DEAD LINK,#N/A,
INFL068,Heidi Hamoud,Heidi Hamoud,INFL068,https://www.youtube.com/watch?v=Gujpf4vPeOc
INFL068,Heidi Hamoud,Heidi Hamoud,INFL068,https://www.youtube.com/watch?v=tWNs_7btpQA
INFL068,Heidi Hamoud,Heidi Hamoud,INFL068,https://www.youtube.com/watch?v=_SvEWio-OVk
INFL071,ChristiJae,ChristiJae,INFL071,https://www.youtube.com/watch?v=Ib5FN8vCPl0
INFL071,ChristiJae,ChristiJae,INFL071,https://www.youtube.com/watch?v=M53dCFZy_7U
INFL073,Kaiser Coby,Kaiser Coby,INFL073,https://www.youtube.com/watch?v=JmLfL_UoAVM
INFL073,Kaiser Coby,Kaiser Coby,INFL073,https://www.youtube.com/watch?v=ofQ_Fzbjqw4
INFL073,Kaiser Coby,Kaiser Coby,INFL073,https://www.youtube.com/watch?v=7iPCh4XK-Wo
INFL076,Only Bells,Only Bells,INFL076,https://www.youtube.com/watch?v=WoFRai1j_6c
INFL076,Only Bells,Only Bells,INFL076,https://www.youtube.com/watch?v=W4kQ8IpirlM
INFL078,Naturally Sunny,Naturally Sunny,INFL078,https://www.youtube.com/watch?v=oGRBwRvuP98
INFL078,Naturally Sunny,Naturally Sunny,INFL078,https://www.youtube.com/watch?v=rfSTW0e4TsY
INFL080,PeakMill,PeakMill,INFL080,https://www.youtube.com/watch?v=oELhEqCppks
INFL080,PeakMill,PeakMill,INFL080,https://www.youtube.com/watch?v=M0JQfWgokFU
INFL082,Princess Bellaaa,Princess Bellaaa,INFL082,https://www.youtube.com/watch?v=iWbwDtctkzU
INFL082,Princess Bellaaa,Princess Bellaaa,INFL082,https://www.youtube.com/watch?v=cMcunB_vKNc
INFL084,Alissa Ashley,Alissa Ashley,INFL084,
INFL084,Alissa Ashley,Alissa Ashley,INFL084,https://www.youtube.com/watch?v=Tfy6DrHDyzM
INFL086,Arnell Armon,Arnell Armon,INFL086,https://www.youtube.com/watch?v=ogLOS-bAM0U
INFL087,Laurasia Andrea,Laurasia Andrea,INFL087,https://www.youtube.com/watch?v=--oaCfJmtXo
INFL061,Nyma Tang,Nyma Tang,INFL061,https://www.youtube.com/watch?v=JATNxnDQ9y8
INFL089,Ronkeraji,Ronkeraji,INFL089,https://www.youtube.com/watch?v=olV06LPfa6g
INFL090,Cydnee Black,Cydnee Black,INFL090,https://www.youtube.com/watch?v=-IgJPx-fb0I
INFL091,ULoveMegz #,ULoveMegz #,INFL091,https://www.youtube.com/watch?v=cwVCI7qbV08
INFL092,HeFlawless,HeFlawless,INFL092,https://www.youtube.com/watch?v=XaA3IpD3VCU
INFL093,Viva Glam Kay,Viva Glam Kay,INFL093,https://www.youtube.com/watch?v=z-XOLx4-yV8
INFL093,Viva Glam Kay,Viva Glam Kay,INFL093,https://www.youtube.com/watch?v=qR--99YdwGE
INFL093,Viva Glam Kay,Viva Glam Kay,INFL093,https://www.youtube.com/watch?v=4mRxCw2VDJM
INFL093,Viva Glam Kay,Viva Glam Kay,INFL093,https://www.youtube.com/watch?v=CSIvLOvtdtI
INFL097,Melly Sanchez,Melly Sanchez,INFL097,https://www.youtube.com/watch?v=E1aIa2fjjgw
INFL097,Melly Sanchez,Melly Sanchez,INFL097,https://www.youtube.com/watch?v=HonTQVYo5DY
INFL099,Sabina Hanan,Sabina Hanan,INFL099,https://www.youtube.com/watch?v=Rlvt8zNNGj4
INFL100,James Charles,James Charles,INFL100,https://www.youtube.com/watch?v=o5v1MaDK4-8
INFL100,James Charles,James Charles,INFL100,https://www.youtube.com/watch?v=4QQLFYdlyGY
INFL102,NikkieTutorials,NikkieTutorials,INFL102,https://www.youtube.com/watch?v=Lxvgzzj5tWA
INFL102,NikkieTutorials,NikkieTutorials,INFL102,https://www.youtube.com/watch?v=eOA7fbLcShY
INFL002,Lauren Curtis,Lauren Curtis,INFL002,https://www.youtube.com/watch?v=ujoc7xbgJfk
INFL054,My Pale Skin,My Pale Skin,INFL054,https://www.youtube.com/watch?v=5v6QdzXg464
INFL106,Ashley Devonna,Ashley Devonna,INFL106,https://www.youtube.com/watch?v=yD-zF3MxBwo
INFL107,Leyla Rose,Leyla Rose,INFL107,
INFL108,Alexandraxoxx,Alexandraxoxx,INFL108,
INFL107,Leyla Rose,Leyla Rose,INFL107,https://www.youtube.com/watch?v=uG9qm9m6WTo
INFL110,Kallie Kaiser,Kallie Kaiser,INFL110,https://www.youtube.com/watch?v=dhliVBZEFWU
INFL068,Heidi Hamoud,Heidi Hamoud,INFL068,https://www.youtube.com/watch?v=7X5Ty0HxcKM
INFL042,Nicole Guerriero,Nicole Guerriero,INFL042,https://www.youtube.com/watch?v=leL7LVAlMmc
INFL042,Nicole Guerriero,Nicole Guerriero,INFL042,https://www.youtube.com/watch?v=8rH0Kg49atM
INFL054,My Pale Skin,My Pale Skin,INFL054,https://www.youtube.com/watch?v=reEhweKoKow
INFL115,Conagh Kathleen,Conagh Kathleen,INFL115,https://www.youtube.com/watch?v=dMlLfyUyDTE
INFL116,Sarah Therese,Sarah Therese,INFL116,https://www.youtube.com/watch?v=0EneZ0SCVJM
INFL117,Roxette Arisa,Roxette Arisa,INFL117,https://www.youtube.com/watch?v=kwRjaqLFzhY
INFL118,Dulce Candy,Dulce Candy,INFL118,https://www.youtube.com/watch?v=34Bes31la64
INFL018,AnchalMUA,AnchalMUA,INFL018,https://www.youtube.com/watch?v=1GA62pdo2uU
INFL014,Jayde Pierce,Jayde Pierce,INFL014,https://www.youtube.com/watch?v=4F21E-Ua32w
INFL090,Cydnee Black,Cydnee Black,INFL090,https://www.youtube.com/watch?v=2EBdZjtJ_sI
INFL015,Raye Boyce,Raye Boyce,INFL015,https://www.youtube.com/watch?v=w6REqm_zRSw
INFL078,Naturally Sunny,Naturally Sunny,INFL078,https://www.youtube.com/watch?v=UaYDam8u3Lk
INFL019,Teaira Walker,Teaira Walker,INFL019,https://www.youtube.com/watch?v=e1Q5DT9e55M
INFL125,SonjdraDeluxe,SonjdraDeluxe,INFL125,https://www.yo...v=-NFfC8EOeFw
INFL005,Jessica Vu,Jessica Vu,INFL005,https://www.youtube.com/watch?v=AWYqNWd1BcM
INFL007,Amanda Ensing,Amanda Ensing,INFL007,https://www.youtube.com/watch?v=Oh_Bbt1EIrg&t=4s
INFL128,Raven Elyse,Raven Elyse,INFL128,https://www.youtube.com/watch?v=LoE9jUzgnwI
INFL129,Jessica Clements,Jessica Clements,INFL129,https://www.youtube.com/watch?v=wqS9QwOIH3s
INFL130,Chloe Morello,Chloe Morello,INFL130,https://www.youtube.com/watch?v=eJDWKNidpKE
INFL131,SunKissAlba,SunKissAlba,INFL131,https://www.youtube.com/watch?v=5xHVvIKBOEA
INFL046,Rose Kimberly,Rose Kimberly,INFL046,https://www.youtube.com/watch?v=TLasSzIVXZQ
INFL133,LLetitia Online,LLetitia Online,INFL133,https://www.youtube.com/watch?v=VBk0kMoYpYM
