ID,pro_ori.[0],pro_ori.[1],pro_ori.[2],pro_ori.[3],pro_ori.[4],pro_ori.[5],pro_ori.[6],pro_ori.[7],pro_dup.[0],pro_dup.[1],pro_dup.[2],pro_dup.[3],pro_dup.[4],pro_dup.[5],pro_dup.[6],pro_dup.[7]
INFL_0316,O_73,O_165,,O_512,,O_532,,,D_203,D_207,,D_523,,D_524,,
INFL_8080,O_593,O_534,O_17,O_72,,,,,D_22,D_525,D_526,D_236,,,,
INFL_0318,O_563,O_399,O_219,,O_353,,,,D_105,D_72,D_95,,D_527,,,
INFL_0319,,O_419,O_549,O_428,,O_10,,,,D_224,D_38,D_0,,D_528,,
INFL_0320,O_323,O_549,,O_460,O_318,,,,D_203,D_38,,D_225,D_388,,,
INFL_0321,O_38,O_100,O_488,O_379,,,,,D_120,D_185,D_530,D_531,,,,
INFL_0322,O_403,O_57,O_61,O_567,,,,,D_72,D_532,D_160,D_0,,,,
INFL_8096,O_73,,O_170,O_570,,O_22,,,D_105,,D_38,D_95,,D_190,,
INFL_8087,O_501,O_148,O_338,,O_160,,,,D_98,D_185,D_107,,D_536,,,
INFL_8088,O_378,O_428,,,O_538,O_251,,,D_84,D_0,,,D_112,D_470,,
INFL_8126,O_447,O_273,O_587,,,,O_119,,D_108,D_84,D_26,,,,D_537,
INFL_0327,O_520,,O_107,,O_462,,O_413,,D_207,,D_538,,D_539,,D_540,
INFL_0328,O_335,O_339,O_5,O_538,,,,,D_95,D_236,D_470,D_112,,,,
INFL_0329,O_548,O_174,O_311,,,,,,D_185,D_541,D_542,,,,,
INFL_0330,O_477,O_579,,O_74,O_232,,,,D_98,D_95,,D_112,D_544,,,
INFL_8089,O_94,O_105,O_23,,,,,,D_117,D_185,D_531,,,,,
INFL_8040,,O_428,O_33,O_80,,O_566,,,,D_0,D_546,D_297,,D_237,,
INFL_8193,O_225,,O_222,O_227,O_218,,,,D_51,,D_183,D_547,D_548,,,
INFL_0334,O_303,O_284,O_428,,O_59,,,,D_203,D_120,D_0,,D_548,,,
INFL_0335,,,,,O_89,O_237,O_592,,,,,,D_550,D_509,D_552,
INFL_8011,O_469,O_428,O_373,,,,O_538,,D_553,D_0,D_208,,,,D_112,
INFL_0337,O_385,O_151,O_5,O_536,,,,,D_105,D_84,D_470,D_555,,,,
INFL_8099,O_149,,,O_63,,,O_569,,D_84,,,D_556,,,D_557,
INFL_8100,O_499,O_168,,,O_413,,O_375,,D_558,D_84,,,,,D_559,
INFL_8102,,O_413,O_414,O_517,,O_27,,,,,D_560,D_561,,D_562,,
INFL_0341,O_482,O_77,O_306,O_31,,,,,D_84,D_563,D_183,D_546,,,,
INFL_0342,O_341,O_397,O_588,,O_314,,,,D_564,D_565,D_566,,D_38,,,
INFL_0343,O_164,O_436,O_335,O_47,,,,,D_95,D_51,D_160,D_539,,,,
INFL_8101,O_168,,O_63,,O_585,,O_375,,D_84,,D_556,,D_357,,D_559,
INFL_0345,O_176,O_170,O_306,,,O_179,,,D_105,D_38,D_183,,,D_567,,
INFL_0346,O_176,O_174,O_170,,,O_172,,,D_105,D_556,D_38,,,D_107,,
INFL_8196,O_234,O_238,,O_15,O_233,,,,D_301,D_448,,D_470,D_332,,,
