ID,pro_ori.[0],pro_ori.[1],pro_ori.[2],pro_ori.[3],pro_ori.[4],pro_ori.[5],pro_ori.[6],pro_ori.[7],pro_dup.[0],pro_dup.[1],pro_dup.[2],pro_dup.[3],pro_dup.[4],pro_dup.[5],pro_dup.[6],pro_dup.[7]
INFL_8162,O_500,,,,O_19,,,O_387,D_72,,,,D_227,,,D_247
INFL_0195,O_391,,O_401,,,,O_405,,D_224,,D_248,,,,D_249,
INFL_0196,O_549,O_348,O_46,O_72,O_306,O_242,,O_342,D_50,D_95,D_225,D_236,D_227,D_31,,D_252
INFL_0197,O_202,O_248,O_201,O_431,,,,,D_207,D_95,D_253,D_243,,,,
INFL_8173,O_345,O_534,,O_328,O_508,,,,D_38,D_2,,D_255,D_256,,,
INFL_0199,,,O_574,O_268,O_468,O_262,O_318,,,,D_257,D_225,D_258,D_259,D_260,
INFL_0200,O_390,,,O_78,O_412,,,O_323,D_84,,,D_261,D_262,,,D_203
INFL_8058,O_165,O_164,,O_586,O_511,O_559,,,D_207,D_95,,D_264,D_265,D_266,,
INFL_8195,O_234,O_428,O_237,O_30,,,O_310,,D_78,D_0,D_268,D_269,,,D_270,
INFL_0203,O_378,,O_554,,,,O_375,,D_84,,D_271,,,,D_272,
INFL_0204,O_423,O_356,O_333,,,O_318,O_320,,D_268,D_184,D_273,,,D_260,D_274,
INFL_0205,O_432,,O_356,O_575,,O_320,,,D_38,,D_184,D_275,,D_276,,
INFL_8025,O_136,,O_534,,,O_358,O_467,,D_122,,D_2,,,,D_279,
INFL_8044,O_411,,O_494,O_194,O_332,,,,D_280,,D_207,D_240,D_14,,,
INFL_0208,O_80,,O_131,,O_490,,,,D_281,,,,D_283,,,
INFL_8095,O_209,O_577,O_313,,O_581,,,,D_122,D_95,D_284,,D_285,,,
INFL_0210,O_549,O_534,O_117,,,O_251,O_409,,D_38,D_2,D_259,,,D_286,D_287,
INFL_8065,O_26,O_29,O_13,,,,,,D_288,D_289,,,D_290,,,
INFL_0212,,O_325,O_325,O_327,O_320,,,,,D_291,D_292,D_289,D_293,,,
INFL_8205,O_552,,O_203,O_518,O_422,,,,D_294,,D_295,D_296,D_259,,,
INFL_8155,O_363,,O_362,O_534,O_251,,,,D_297,,D_296,D_129,D_131,,,
INFL_8105,O_141,O_157,O_210,O_14,,O_213,,,D_84,D_108,D_131,D_299,,D_284,,
INFL_0216,O_199,O_0,,,O_1,O_12,,,D_301,D_302,,,D_131,D_303,,
INFL_0217,O_73,O_436,O_136,,O_14,O_13,,,D_108,D_51,D_306,,D_299,,,
INFL_8084,O_199,O_534,,O_68,O_530,,,,D_301,D_129,,D_307,D_308,,,
INFL_0219,,O_575,O_248,,,,O_467,O_267,,D_309,,,,,D_279,D_311
INFL_0220,O_419,O_418,O_14,,,O_478,,,D_301,,D_299,,,D_312,,
INFL_8021,O_243,O_251,O_428,O_266,O_263,,,,D_313,D_131,D_0,D_314,D_315,,,
INFL_8122,O_549,,O_567,O_538,,O_12,,,D_50,,D_171,,,D_316,,
INFL_0223,O_199,O_534,O_539,O_291,,,O_116,,D_301,D_129,D_236,D_288,,,D_318,
INFL_8029,O_165,O_437,O_489,O_318,,,,,D_207,D_319,D_312,D_199,,,,
INFL_8125,O_534,O_274,,O_461,O_343,,,,,D_84,,D_321,D_322,,,
INFL_0226,O_199,O_437,O_370,O_330,,,,,D_301,D_319,D_312,D_236,,,,
INFL_8160,O_113,O_165,,O_198,O_4,,,,D_203,D_50,,D_323,D_324,,,
INFL_0228,O_188,O_43,O_65,,O_479,O_556,,,D_51,D_0,D_150,,D_323,D_325,,
INFL_8066,O_73,O_549,O_534,O_72,O_76,,,,D_105,D_38,,D_226,D_327,,,
INFL_0230,O_355,O_81,O_432,O_13,,,,,D_160,D_297,D_72,D_215,,,,
INFL_8189,O_572,O_421,O_294,O_415,,,,,D_207,D_297,D_288,D_331,,,,
INFL_8054,O_549,O_428,O_323,O_209,,,,,D_38,D_0,D_203,D_332,,,,
INFL_0233,O_212,O_428,,O_266,O_263,,O_65,,D_72,,,D_333,D_334,,D_150,
INFL_8032,O_152,O_471,O_538,O_205,,,,,D_203,D_336,D_112,D_338,,,,
INFL_8006,,O_307,O_200,O_308,O_316,O_65,,,,D_78,D_183,D_340,D_341,D_150,,
INFL_8090,O_571,O_534,,O_535,,O_528,,O_119,D_207,D_129,,D_131,,D_342,,D_343
INFL_8181,O_138,O_273,,O_72,O_292,,,,D_108,D_84,,D_236,D_288,,,
INFL_8183,O_520,O_41,O_452,O_490,,,,,D_207,D_346,D_347,D_116,,,,
INFL_8085,O_191,,O_514,,O_161,O_122,,,D_349,,D_350,,D_351,D_352,,
INFL_0240,O_165,,,O_252,O_76,O_245,,,D_207,,,D_115,D_327,D_353,,
INFL_8022,O_120,O_115,O_112,O_109,,O_118,,,D_203,D_51,D_115,D_354,,D_343,,
INFL_8165,O_258,O_428,O_383,,,O_357,,,D_51,D_0,D_112,,,D_322,,
INFL_0243,O_224,O_220,O_16,O_340,,,,,D_98,,D_357,D_294,,,,
INFL_8113,O_421,O_417,O_14,,,,O_60,,D_301,D_95,D_357,,,,D_360,
INFL_8191,O_290,O_567,O_462,,,,,O_150,D_361,D_0,D_362,,,,,D_363
INFL_0246,O_505,O_567,O_47,,,O_251,,,D_364,,D_366,,,,,
INFL_0247,O_504,O_428,,,O_521,,,O_584,D_368,,,,,,,
INFL_0248,O_147,,O_187,,,,O_229,O_253,,,D_373,,,,,
